═══ TODAS LAS OPERACIONES ═══
Par,Trade #,Tipo,Resultado,Fecha Entrada,Fecha Salida,Duración (velas),Precio Entrada,Precio Salida,Precio TP,Precio Liquidación,PnL ($),PnL (%),Comisiones ($),Funding Cost ($),Funding Events,Funding Rate Prom (%),Capital Antes ($),Capital Después ($),SMA 30,SMA 50,SMA 100,SMA 200,RSI (14),Patrones Detectados,Score Patrones,MAE (%),MFE (%),Vela Open,Vela High,Vela Low,Vela Close,Volumen
GLMUSDT,1,SHORT,TIMEOUT,2026-02-19 20:00:00,2026-02-27 20:00:00,48,0.1691,0.1343,-0.5074,0.1769,2.01,401.24,0.0080,0.0440,48,-0.009166,0.50,2.51,0.1827,0.1874,0.1917,0.2094,24.40,Bearish Engulfing | Tweezer Top,-3,2.68,23.77,0.1722,0.1725,0.1667,0.1691,4920566.00
GLMUSDT,2,SHORT,TIMEOUT,2026-02-22 00:00:00,2026-02-27 20:00:00,35,0.1652,0.1343,-0.4955,0.1728,9.16,365.52,0.0401,0.1637,35,-0.009331,2.51,11.67,0.1740,0.1812,0.1859,0.2044,35.99,Bearish Engulfing,-2,0.57,21.95,0.1673,0.1709,0.1640,0.1652,5314165.00
GLMUSDT,3,SHORT,TIMEOUT,2026-02-23 20:00:00,2026-02-27 20:00:00,24,0.1532,0.1343,-0.4597,0.1603,28.06,240.51,0.1867,0.5628,24,-0.010049,11.67,39.73,0.1664,0.1729,0.1825,0.2006,29.66,Three Black Crows,-2,2.76,15.87,0.1541,0.1548,0.1502,0.1532,4060883.00
GLMUSDT,4,SHORT,TIMEOUT,2026-02-25 20:00:00,2026-02-27 20:00:00,12,0.1502,0.1343,-0.4506,0.1571,81.14,204.25,0.6356,2.1769,12,-0.022832,39.73,120.87,0.1578,0.1646,0.1771,0.1955,39.09,Bearish Engulfing,-2,1.20,14.16,0.1558,0.1575,0.1484,0.1502,5149757.00
SKYAIUSDT,1,LONG,TIMEOUT,2026-02-23 04:00:00,2026-02-27 20:00:00,28,0.0392,0.0512,0.1958,0.0374,3.03,606.16,0.0080,0.0434,28,0.015517,0.50,3.53,0.0381,0.0379,0.0369,0.0385,56.94,Bullish Engulfing,2,3.29,31.23,0.0386,0.0394,0.0380,0.0392,3899636.00
SKYAIUSDT,2,LONG,TIMEOUT,2026-02-25 04:00:00,2026-02-27 20:00:00,16,0.0411,0.0512,0.2053,0.0392,17.26,488.73,0.0565,0.1993,16,0.017644,3.53,20.79,0.0388,0.0382,0.0377,0.0383,64.95,Bullish Engulfing | Morning Star | Tweezer Bottom,5,0.88,25.19,0.0391,0.0416,0.0389,0.0411,8583493.00
SKYAIUSDT,3,LONG,TIMEOUT,2026-02-27 08:00:00,2026-02-27 20:00:00,3,0.0460,0.0512,0.2299,0.0439,47.01,226.15,0.3326,0.1275,3,0.010223,20.79,67.80,0.0411,0.0399,0.0388,0.0384,70.64,Bullish Engulfing,2,0.20,11.77,0.0447,0.0460,0.0447,0.0460,4621306.00
OMUSDT,1,LONG,TIMEOUT,2026-02-19 16:00:00,2026-02-27 20:00:00,49,0.0635,0.0677,0.3173,0.0605,2.22,443.62,0.0080,-1.5515,89,-0.174330,0.50,2.72,0.0597,0.0563,0.0511,0.0572,62.47,Piercing Line,1,0.20,15.04,0.0625,0.0643,0.0619,0.0635,150419510.20
OMUSDT,2,LONG,TIMEOUT,2026-02-21 16:00:00,2026-02-27 20:00:00,37,0.0639,0.0677,0.3193,0.0609,7.19,264.45,0.0435,-3.9281,41,-0.176239,2.72,9.91,0.0624,0.0612,0.0532,0.0568,53.18,Bullish Harami,1,0.74,11.18,0.0638,0.0642,0.0633,0.0639,26583338.40
1000LUNCUSDT,1,LONG,TIMEOUT,2026-02-25 12:00:00,2026-02-27 20:00:00,14,0.0363,0.0435,0.1815,0.0346,2.00,400.91,0.0080,-0.0153,7,-0.021854,0.50,2.50,0.0356,0.0353,0.0347,0.0357,62.94,Three White Soldiers,2,2.75,36.12,0.0355,0.0365,0.0354,0.0363,30561975.00
1000LUNCUSDT,2,LONG,TIMEOUT,2026-02-27 12:00:00,2026-02-27 20:00:00,2,0.0404,0.0435,0.2019,0.0385,3.91,156.20,0.0401,-0.0199,1,-0.039693,2.50,6.42,0.0363,0.0362,0.0352,0.0357,65.18,Bullish Harami | Tweezer Bottom,2,2.08,10.13,0.0398,0.0428,0.0394,0.0404,388404713.00
LIGHTUSDT,1,SHORT,TIMEOUT,2026-02-26 04:00:00,2026-02-27 20:00:00,10,0.2135,0.1913,-0.6405,0.2233,1.04,207.72,0.0080,-0.0068,10,0.006771,0.50,1.54,0.2284,0.2367,0.2374,0.2890,39.31,Tweezer Top,-1,1.64,10.68,0.2157,0.2196,0.2121,0.2135,2957769.00
PAXGUSDT,1,LONG,TIMEOUT,2026-02-22 12:00:00,2026-02-27 20:00:00,32,5151.5800,5292.7900,25757.9000,4914.6073,0.26,51.78,0.0080,0.0072,32,0.002251,0.50,0.76,5036.0047,5021.3412,5013.6732,5007.7949,70.94,Three White Soldiers,2,0.76,2.82,5132.9700,5163.7300,5132.7600,5151.5800,4751.48
PAXGUSDT,2,LONG,TIMEOUT,2026-02-24 12:00:00,2026-02-27 20:00:00,20,5166.1900,5292.7900,25830.9500,4928.5453,0.35,46.09,0.0121,0.0100,20,0.003299,0.76,1.11,5128.0883,5060.5346,5044.9760,5029.7135,54.69,Hammer,1,0.49,2.53,5188.7800,5188.7800,5112.6700,5166.1900,14330.45
PAXGUSDT,3,LONG,TIMEOUT,2026-02-27 00:00:00,2026-02-27 20:00:00,5,5195.7400,5292.7900,25978.7000,4956.7360,0.39,35.50,0.0177,0.0029,5,0.002613,1.11,1.50,5184.5090,5133.8964,5069.6128,5045.4853,55.61,Bullish Engulfing,2,0.30,1.95,5192.7000,5208.4400,5178.0600,5195.7400,3805.71
TURBOUSDT,1,SHORT,TIMEOUT,2026-02-25 20:00:00,2026-02-27 20:00:00,12,0.0010,0.0010,-0.0031,0.0011,0.79,158.28,0.0080,-0.0005,12,0.000406,0.50,1.29,0.0010,0.0010,0.0011,0.0012,57.70,Bearish Engulfing,-2,0.89,8.70,0.0011,0.0011,0.0010,0.0010,1636447437.00
TURBOUSDT,2,SHORT,TIMEOUT,2026-02-27 16:00:00,2026-02-27 20:00:00,1,0.0010,0.0010,-0.0029,0.0010,0.18,13.62,0.0207,0.0026,1,-0.010250,1.29,1.47,0.0010,0.0010,0.0011,0.0012,38.66,Three Black Crows,-2,0.53,1.54,0.0010,0.0010,0.0010,0.0010,1283153588.00
XAUUSDT,1,LONG,TIMEOUT,2026-02-22 12:00:00,2026-02-27 20:00:00,32,5123.0000,5275.1500,25615.0000,4887.3420,0.25,49.39,0.0080,0.0421,32,0.013142,0.50,0.75,5028.1950,5017.2586,5009.1033,4995.0089,70.84,Three White Soldiers | Shooting Star,1,0.43,3.05,5114.9100,5139.9900,5114.9000,5123.0000,13907.53
XAUUSDT,2,LONG,TIMEOUT,2026-02-24 12:00:00,2026-02-27 20:00:00,20,5152.8700,5275.1500,25764.3500,4915.8380,0.34,45.80,0.0120,0.0005,20,0.000164,0.75,1.09,5115.2260,5051.8398,5037.8101,5017.3716,55.05,Hammer,1,0.54,2.45,5175.0100,5175.6000,5101.2000,5152.8700,84164.90
XAUUSDT,3,LONG,TIMEOUT,2026-02-27 00:00:00,2026-02-27 20:00:00,5,5184.7600,5275.1500,25923.8000,4946.2610,0.36,33.27,0.0174,0.0000,5,0.000000,1.09,1.45,5171.4260,5122.8746,5062.9355,5034.3792,55.50,Bullish Harami,1,0.26,1.82,5183.7200,5198.3000,5168.0700,5184.7600,19814.65
